iter	Logloss
0	0.5895717087
1	0.5132317724
2	0.4518417561
3	0.4042115626
4	0.3663977421
5	0.3379276159
6	0.3155694039
7	0.2977869285
8	0.2838323356
9	0.2727012713
10	0.2636189329
11	0.2554464843
12	0.249462674
13	0.2444636951
14	0.2402255928
15	0.236414823
16	0.2333158235
17	0.2297933699
18	0.2273493134
19	0.2251036145
20	0.222650901
21	0.2204547955
22	0.2186523214
23	0.2171987325
24	0.2156694573
25	0.2143844661
26	0.2131314773
27	0.2119813868
28	0.2109351695
29	0.2099033284
30	0.2089752204
31	0.2080536498
32	0.2069986517
33	0.2060613135
34	0.2053208015
35	0.2041120507
36	0.2033058027
37	0.2025108584
38	0.2017468178
39	0.2007722809
40	0.2000480492
41	0.198943097
42	0.1978911884
43	0.1971302933
44	0.196485546
45	0.1959902731
46	0.1954248797
47	0.19474652
48	0.1940970104
49	0.1931846571
50	0.1926832088
51	0.1921400268
52	0.1914710292
53	0.1907074468
54	0.1900744257
55	0.1894603711
56	0.1890001606
57	0.1883190547
58	0.187744287
59	0.186845821
60	0.1864132112
61	0.1859567293
62	0.1853383087
63	0.1848778934
64	0.1842810509
65	0.18386165
66	0.1831526332
67	0.1827240061
68	0.1822692032
69	0.181873301
70	0.181462825
71	0.1810982705
72	0.1807038063
73	0.1803041324
74	0.1797403175
75	0.1794255979
76	0.1790545776
77	0.178727118
78	0.1783985832
79	0.1780429905
80	0.1777309021
81	0.1773293342
82	0.1770248142
83	0.1766691381
84	0.1763429721
85	0.1759875593
86	0.1755452258
87	0.1752286901
88	0.1748863496
89	0.1744214137
90	0.1741185653
91	0.1738495338
92	0.1733454555
93	0.1727527069
94	0.1723802464
95	0.1721380252
96	0.1718360764
97	0.1715673021
98	0.1712898728
99	0.1710567048
100	0.1706243627
101	0.1702968766
102	0.1699382732
103	0.1696676075
104	0.1694389415
105	0.1690777068
106	0.168746141
107	0.1685372185
108	0.1682332963
109	0.1680097299
110	0.1677790989
111	0.1675662927
112	0.1673319748
113	0.1670826517
114	0.1668645435
115	0.166611371
116	0.1663498827
117	0.1661430303
118	0.1658124923
119	0.1655694792
120	0.1652514095
121	0.1647741793
122	0.1645502865
123	0.1642390343
124	0.1640216741
125	0.1637772163
126	0.1635220498
127	0.1632290636
128	0.16302994
129	0.1626516201
130	0.1624475707
131	0.1622146248
132	0.1620253508
133	0.1618217092
134	0.1615967425
135	0.1613740932
136	0.1609343783
137	0.1607141371
138	0.1605077581
139	0.1603158675
140	0.1599973887
141	0.1597790637
142	0.1595854367
143	0.1593738944
144	0.1591799051
145	0.1589498589
146	0.1587588971
147	0.1584406512
148	0.1582425766
149	0.1579556299
150	0.157760451
151	0.1576092766
152	0.1574361834
153	0.1572704178
154	0.1570417837
155	0.1568676825
156	0.1565644631
157	0.1563882995
158	0.1561989878
159	0.1560507
160	0.1558858174
161	0.1557499284
162	0.1555424817
163	0.155263588
164	0.1551107327
165	0.1548937277
166	0.1547661081
167	0.1545093405
168	0.1543529431
169	0.15419303
170	0.1539959174
171	0.1538614838
172	0.1536944233
173	0.1534397503
174	0.1532095184
175	0.1530600366
176	0.1528503007
177	0.1526591535
178	0.1525403484
179	0.1523896484
180	0.1521707707
181	0.1520160476
182	0.1517734921
183	0.1515980194
184	0.1514950356
185	0.1512991673
186	0.1510926328
187	0.1508544487
188	0.150713178
189	0.1505707576
190	0.1504366803
191	0.1502910995
192	0.1501270134
193	0.1499947806
194	0.1498666082
195	0.1497552462
196	0.1496140583
197	0.1494655073
198	0.1492891559
199	0.1490693162
