iter	Passed	Remaining
0	455	90604
1	946	93752
2	1395	91615
3	1868	91578
4	2319	90454
5	2795	90391
6	3245	89490
7	3703	88893
8	4164	88384
9	4625	87882
10	5071	87132
11	5548	86926
12	6026	86682
13	6479	86088
14	6950	85725
15	7412	85241
16	7889	84930
17	8360	84537
18	8825	84077
19	9263	83372
20	9711	82781
21	10167	82265
22	10646	81930
23	11077	81233
24	11520	80643
25	11974	80137
26	12413	79537
27	12867	79045
28	13297	78407
29	13745	77892
30	14174	77276
31	14625	76784
32	15062	76227
33	15496	75660
34	15947	75181
35	16415	74780
36	16873	74332
37	17307	73784
38	17754	73295
39	18204	72818
40	18650	72325
41	19102	71862
42	19565	71438
43	19997	70901
44	20446	70427
45	20906	69992
46	21329	69434
47	21804	69049
48	22288	68684
49	22771	68313
50	23229	67865
51	23686	67414
52	24127	66919
53	24601	66515
54	25043	66023
55	25470	65495
56	25920	65028
57	26371	64564
58	26817	64090
59	27275	63643
60	27708	63138
61	28143	62641
62	28619	62236
63	29049	61729
64	29471	61209
65	29905	60717
66	30368	60284
67	30819	59826
68	31239	59310
69	31673	58822
70	32099	58320
71	32581	57923
72	33011	57431
73	33445	56948
74	33911	56519
75	34342	56031
76	34793	55579
77	35219	55086
78	35662	54622
79	36085	54127
80	36511	53640
81	36947	53168
82	37376	52687
83	37863	52288
84	38311	51833
85	38785	51413
86	39249	50978
87	39717	50549
88	40151	50076
89	40616	49642
90	41050	49170
91	41484	48698
92	41928	48240
93	42401	47814
94	42845	47355
95	43270	46876
96	43734	46439
97	44155	45957
98	44612	45513
99	45038	45038
100	45482	44582
101	45917	44116
102	46339	43639
103	46785	43186
104	47214	42717
105	47660	42264
106	48087	41796
107	48520	41332
108	48957	40873
109	49381	40402
110	49822	39947
111	50245	39478
112	50687	39025
113	51122	38566
114	51548	38100
115	51976	37638
116	52407	37178
117	52854	36729
118	53303	36282
119	53761	35841
120	54217	35398
121	54740	34997
122	55194	34552
123	55667	34118
124	56102	33661
125	56531	33201
126	56993	32760
127	57416	32297
128	57850	31840
129	58278	31380
130	58723	30930
131	59158	30475
132	59584	30016
133	60020	29562
134	60442	29102
135	60883	28651
136	61360	28216
137	61802	27766
138	62220	27305
139	62657	26853
140	63113	26409
141	63535	25951
142	63969	25498
143	64394	25042
144	64829	24590
145	65259	24137
146	65696	23686
147	66146	23240
148	66572	22786
149	67017	22339
150	67438	21883
151	67873	21433
152	68299	20980
153	68734	20530
154	69168	20081
155	69600	19630
156	70061	19188
157	70512	18743
158	70984	18304
159	71428	17857
160	71894	17415
161	72320	16964
162	72775	16519
163	73219	16072
164	73656	15624
165	74076	15172
166	74491	14719
167	74967	14279
168	75393	13829
169	75820	13380
170	76246	12930
171	76686	12483
172	77116	12035
173	77565	11590
174	78021	11145
175	78447	10697
176	78869	10248
177	79302	9801
178	79742	9355
179	80174	8908
180	80607	8461
181	81034	8014
182	81478	7569
183	81920	7123
184	82356	6677
185	82793	6231
186	83239	5786
187	83667	5340
188	84085	4893
189	84504	4447
190	84937	4002
191	85377	3557
192	85855	3113
193	86298	2669
194	86761	2224
195	87203	1779
196	87660	1334
197	88098	889
198	88539	444
199	88982	0
